Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,id,Battery_Capacity_kwh
"MG Marvel R",7.9,200,340,191,390,"Rear Wheel Drive",5,40000,NULL,160,65
"Tesla Model 3 Long Range Dual Motor",4.4,233,490,155,820,"All Wheel Drive",5,53560,NULL,161,76
"MG MG5 EV Long Range",7.7,185,340,168,340,"Front Wheel Drive",5,NULL,26495,162,57
"Audi Q4 e-tron 45 quattro",6.9,180,385,199,470,"All Wheel Drive",5,50900,NULL,163,77
"Peugeot e-Traveller Compact 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,50880,NULL,164,45
"Peugeot e-Traveller Standard 50 kWh",13.1,130,185,243,250,"Front Wheel Drive",7,55900,49065,165,45
"Peugeot e-Traveller Long 50 kWh",13.1,130,185,243,250,"Front Wheel Drive",7,56690,49905,166,45
"Audi Q4 Sportback e-tron 40",8.5,160,425,180,520,"Rear Wheel Drive",5,49500,NULL,167,77
"Peugeot e-Traveller Standard 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,57440,NULL,168,68
"Peugeot e-Traveller Long 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,58230,NULL,169,68
"Audi e-tron 55 quattro",5.7,200,365,237,590,"All Wheel Drive",5,81500,NULL,170,87
"Audi e-tron Sportback 55 quattro",5.7,200,375,231,600,"All Wheel Drive",5,83750,NULL,171,87
"Seres 3",8.9,155,270,193,390,"Front Wheel Drive",5,NULL,NULL,172,52
"Hyundai IONIQ 5 Project 45",5.2,185,370,196,860,"All Wheel Drive",5,59550,48000,173,73
"Porsche Taycan",5.4,230,395,180,790,"Rear Wheel Drive",4,83520,70690,174,71
"Porsche Taycan Plus",5.4,230,460,182,960,"Rear Wheel Drive",4,89244,74739,175,84
"Tesla Model S Long Range",3.2,250,555,162,830,"All Wheel Drive",5,86990,83980,176,90
"Tesla Model S Plaid",2.1,322,535,168,800,"All Wheel Drive",5,126990,118980,177,90
"Tesla Model X Long Range",3.9,250,475,189,710,"All Wheel Drive",7,95990,90980,178,90
"Tesla Model X Plaid",2.6,262,455,198,680,"All Wheel Drive",7,116990,110980,179,90
"Mini Cooper SE",7.3,150,185,156,260,"Front Wheel Drive",4,32500,26000,180,29
